"No.","Time","Source","Destination","Protocol","Length","Info"
"8530","99.610306636","RealtekU_12:35:02","Broadcast","ARP","60","Who has 166.109.73.253? Tell 10.0.2.2"
"8531","99.619205853","134.84.241.239","192.168.1.107","TCP","174","6274  >  80 [<None>] Seq=1 Win=512 Len=120 [TCP segment of a reassembled PDU]"
"8532","99.619814932","RealtekU_12:35:02","Broadcast","ARP","60","Who has 134.84.241.239? Tell 10.0.2.2"
"8533","99.642148885","72.35.208.249","192.168.1.107","TCP","174","6275  >  80 [<None>] Seq=1 Win=512 Len=120 [TCP segment of a reassembled PDU]"
"8534","99.642577527","RealtekU_12:35:02","Broadcast","ARP","60","Who has 72.35.208.249? Tell 10.0.2.2"
"8535","99.661770342","118.201.198.198","192.168.1.107","TCP","174","6276  >  80 [<None>] Seq=1 Win=512 Len=120 [TCP segment of a reassembled PDU]"
"8536","99.662683120","RealtekU_12:35:02","Broadcast","ARP","60","Who has 118.201.198.198? Tell 10.0.2.2"
"8537","99.675384762","103.117.54.9","192.168.1.107","TCP","174","6277  >  80 [<None>] Seq=1 Win=512 Len=120 [TCP segment of a reassembled PDU]"
"8538","99.676312988","RealtekU_12:35:02","Broadcast","ARP","60","Who has 103.117.54.9? Tell 10.0.2.2"
"8539","99.687642087","130.238.249.228","192.168.1.107","TCP","174","6278  >  80 [<None>] Seq=1 Win=512 Len=120 [TCP segment of a reassembled PDU]"
"8540","99.688317424","RealtekU_12:35:02","Broadcast","ARP","60","Who has 130.238.249.228? Tell 10.0.2.2"
"8541","99.694182622","180.26.36.57","192.168.1.107","TCP","174","6279  >  80 [<None>] Seq=1 Win=512 Len=120 [TCP segment of a reassembled PDU]"
"8542","99.695183380","RealtekU_12:35:02","Broadcast","ARP","60","Who has 180.26.36.57? Tell 10.0.2.2"
"8543","99.722884630","208.72.109.139","192.168.1.107","TCP","174","6280  >  80 [<None>] Seq=1 Win=512 Len=120 [TCP segment of a reassembled PDU]"
"8544","99.724362925","RealtekU_12:35:02","Broadcast","ARP","60","Who has 208.72.109.139? Tell 10.0.2.2"
"8545","99.726418628","158.228.198.222","192.168.1.107","TCP","174","6281  >  80 [<None>] Seq=1 Win=512 Len=120 [TCP segment of a reassembled PDU]"
"8546","99.727974226","RealtekU_12:35:02","Broadcast","ARP","60","Who has 158.228.198.222? Tell 10.0.2.2"
"8547","99.741840283","120.3.83.248","192.168.1.107","TCP","174","6282  >  80 [<None>] Seq=1 Win=512 Len=120 [TCP segment of a reassembled PDU]"
"8548","99.742455455","RealtekU_12:35:02","Broadcast","ARP","60","Who has 120.3.83.248? Tell 10.0.2.2"
"8549","99.750877388","11.234.41.134","192.168.1.107","TCP","174","6283  >  80 [<None>] Seq=1 Win=512 Len=120 [TCP segment of a reassembled PDU]"
"8550","99.752840124","RealtekU_12:35:02","Broadcast","ARP","60","Who has 11.234.41.134? Tell 10.0.2.2"
"8551","99.787290619","165.33.34.30","192.168.1.107","TCP","174","6284  >  80 [<None>] Seq=1 Win=512 Len=120 [TCP segment of a reassembled PDU]"
"8552","99.789014460","RealtekU_12:35:02","Broadcast","ARP","60","Who has 165.33.34.30? Tell 10.0.2.2"
"8553","99.837095223","213.45.88.254","192.168.1.107","TCP","174","6285  >  80 [<None>] Seq=1 Win=512 Len=120 [TCP segment of a reassembled PDU]"
"8554","99.838234019","RealtekU_12:35:02","Broadcast","ARP","60","Who has 213.45.88.254? Tell 10.0.2.2"
"8555","99.919969757","190.241.140.58","192.168.1.107","TCP","174","6286  >  80 [<None>] Seq=1 Win=512 Len=120 [TCP segment of a reassembled PDU]"
"8556","99.921250374","RealtekU_12:35:02","Broadcast","ARP","60","Who has 190.241.140.58? Tell 10.0.2.2"
"8557","99.947694898","107.37.88.202","192.168.1.107","TCP","174","6287  >  80 [<None>] Seq=1 Win=512 Len=120 [TCP segment of a reassembled PDU]"
"8558","99.948332580","RealtekU_12:35:02","Broadcast","ARP","60","Who has 107.37.88.202? Tell 10.0.2.2"
"8559","99.948429147","40.190.57.91","192.168.1.107","TCP","174","6288  >  80 [<None>] Seq=1 Win=512 Len=120 [TCP segment of a reassembled PDU]"
"8560","99.948956113","RealtekU_12:35:02","Broadcast","ARP","60","Who has 40.190.57.91? Tell 10.0.2.2"
"8561","99.966558704","13.30.3.88","192.168.1.107","TCP","174","6289  >  80 [<None>] Seq=1 Win=512 Len=120 [TCP segment of a reassembled PDU]"
"8562","99.967145752","RealtekU_12:35:02","Broadcast","ARP","60","Who has 13.30.3.88? Tell 10.0.2.2"
"8563","99.967243769","166.0.189.107","192.168.1.107","TCP","174","6290  >  80 [<None>] Seq=1 Win=512 Len=120 [TCP segment of a reassembled PDU]"
